status,type,approved,lat,lng
WK IN PROG,Dumbwaiter,,40.76445,-73.95414
ACTIVE,Dumbwaiter,19960524,40.72725,-73.99984
ACTIVE,Dumbwaiter,19961021,40.73681,-73.99109
ACTIVE,Dumbwaiter,19961001,40.71771,-73.99303
ACTIVE,Dumbwaiter,19961001,40.71771,-73.99303
WK IN PROG,Dumbwaiter,19961119,40.72605,-73.98855
WK IN PROG,Dumbwaiter,19970102,40.72605,-73.98855
ACTIVE,Dumbwaiter,19961125,40.76243,-73.97811
ACTIVE,Dumbwaiter,19970429,40.73855,-73.99075
ACTIVE,Dumbwaiter,19961223,40.76407,-73.9815
ACTIVE,Dumbwaiter,19961223,40.76407,-73.9815
ACTIVE,Dumbwaiter,19961230,40.76094,-73.99008
ACTIVE,Dumbwaiter,19961230,40.76094,-73.99008
ACTIVE,Dumbwaiter,19961231,40.72973,-73.98926
ACTIVE,Dumbwaiter,19961231,40.72895,-73.98697
ACTIVE,Dumbwaiter,19970113,40.78604,-73.97774
ACTIVE,Dumbwaiter,19990602,40.72383,-74.00328
ACTIVE,Dumbwaiter,19970617,40.71553,-74.00823
DISMANTLED,Dumbwaiter,20091230,40.73855,-73.99075
ACTIVE,Dumbwaiter,19970305,40.72955,-73.98858
ACTIVE,Dumbwaiter,20060307,40.76088,-73.98391
ACTIVE,Dumbwaiter,19970506,40.78536,-73.95633
ACTIVE,Dumbwaiter,19970916,40.70599,-74.0186
ACTIVE,Dumbwaiter,19970818,40.76891,-73.99309
ACTIVE,Dumbwaiter,19991208,40.7455,-74.00375
ACTIVE,Dumbwaiter,19970811,40.8051,-73.96648
DISMANTLED,Dumbwaiter,20150325,40.80967,-73.95112
ACTIVE,Dumbwaiter,19970818,40.70925,-74.00361
ACTIVE,Dumbwaiter,19970813,40.74562,-74.01026
DISMANTLED,Dumbwaiter,20141003,40.74211,-73.98434
ACTIVE,Dumbwaiter,19970915,40.76547,-73.98147
ACTIVE,Dumbwaiter,19971119,40.76311,-73.98476
ACTIVE,Dumbwaiter,19970910,40.73544,-73.99729
ACTIVE,Dumbwaiter,19971217,40.77821,-73.98141
ACTIVE,Dumbwaiter,19981204,40.76522,-73.965
ACTIVE,Dumbwaiter,19971117,40.7174,-73.99208
ACTIVE,Dumbwaiter,20060307,40.75449,-73.98218
ACTIVE,Dumbwaiter,20001128,40.77402,-73.9461
ACTIVE,Dumbwaiter,19980518,40.80131,-73.94943
ACTIVE,Dumbwaiter,19980106,40.84127,-73.94346
ACTIVE,Dumbwaiter,19980121,40.75708,-73.97241
NO JURIST,Dumbwaiter,19980220,40.77546,-73.95935
WK IN PROG,Dumbwaiter,,40.71612,-73.99849
ACTIVE,Dumbwaiter,19980205,40.7644,-73.9662
ACTIVE,Dumbwaiter,20000911,40.74263,-73.9985
WK IN PROG,Dumbwaiter,,40.76684,-73.96312
ACTIVE,Dumbwaiter,19980505,40.74965,-73.99498
ACTIVE,Dumbwaiter,19980519,40.7532,-73.98227
ACTIVE,Dumbwaiter,19980519,40.7532,-73.98227
ACTIVE,Dumbwaiter,19980603,40.74834,-73.98772
ACTIVE,Dumbwaiter,19980603,40.74834,-73.98772
ACTIVE,Dumbwaiter,19980508,40.77365,-73.96086
ACTIVE,Dumbwaiter,19980508,40.77365,-73.96086
ACTIVE,Dumbwaiter,19980908,40.77797,-73.95083
ACTIVE,Dumbwaiter,19980908,40.77797,-73.95083
ACTIVE,Dumbwaiter,19980909,40.77121,-73.95379
DISMANTLED,Dumbwaiter,20111006,40.7748,-73.98148
DISMANTLED,Dumbwaiter,19981027,40.7748,-73.98148
ACTIVE,Dumbwaiter,20000801,40.75635,-73.98874
ACTIVE,Dumbwaiter,20060515,40.77502,-73.96256
ACTIVE,Dumbwaiter,19990105,40.78249,-73.95728
ACTIVE,Dumbwaiter,19980921,40.75518,-73.97079
ACTIVE,Dumbwaiter,19981009,40.76231,-73.97389
ACTIVE,Dumbwaiter,19981009,40.76231,-73.97389
ACTIVE,Dumbwaiter,20010830,40.78704,-73.97815
ACTIVE,Dumbwaiter,19981123,40.72563,-73.99172
ACTIVE,Dumbwaiter,19981123,40.75271,-73.97446
ACTIVE,Dumbwaiter,19981120,40.77641,-73.97715
ACTIVE,Dumbwaiter,19990416,40.73043,-73.99435
ACTIVE,Dumbwaiter,19990413,40.75856,-73.98368
ACTIVE,Dumbwaiter,19990413,40.75856,-73.98368
ACTIVE,Dumbwaiter,19990113,40.71542,-73.9984
ACTIVE,Dumbwaiter,19990113,40.71542,-73.9984
ACTIVE,Dumbwaiter,19981109,40.75041,-73.98199
DISMANTLED,Dumbwaiter,20150420,40.77529,-73.96258
ACTIVE,Dumbwaiter,19990209,40.71779,-73.9955
ACTIVE,Dumbwaiter,19990209,40.71779,-73.9955
ACTIVE,Dumbwaiter,19990426,40.76268,-73.97597
ACTIVE,Dumbwaiter,19990426,40.76268,-73.97597
ACTIVE,Dumbwaiter,19981204,40.70754,-74.00736
DISMANTLED,Dumbwaiter,20120702,40.76097,-73.98551
ACTIVE,Dumbwaiter,19991025,40.75828,-73.98864
WK IN PROG,Dumbwaiter,,40.76577,-73.96629
NO JURIST,Dumbwaiter,19990706,40.77046,-73.96157
